,lop,pfsp,qap,tsp
lop,-0.0000,0.0128,0.1390,0.0628
pfsp,0.0136,0.0029,0.0454,0.0712
qap,0.0173,0.0102,0.0063,0.3700
tsp,0.0037,0.0115,0.1397,0.0278
