,lop,pfsp,qap,tsp
lop,0.0041,0.0131,3.7335,0.1305
pfsp,0.0044,0.0085,1.6844,0.0971
qap,-0.0103,0.0080,0.1311,0.0013
tsp,-0.0013,0.0202,3.9796,0.0850
