['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_16_seed2_best.controller', '0', '20', [0.0167781, 0.969338, 0.940723],8]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_16_seed2_best.controller', '0', '20', [0.0184469, 0.969005, 0.940678],16]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_16_seed2_best.controller', '0', '20', [0.0148918, 0.96961, 0.940533],32]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_16_seed2_best.controller', '0', '20', [0.0220903, 0.968403, 0.940626],64]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_32_seed2_best.controller', '0', '20', [0.217019, 0.997756, 0.722462],1]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_32_seed2_best.controller', '0', '20', [0.21696, 0.997755, 0.722601],2]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_32_seed2_best.controller', '0', '20', [0.21689, 0.997752, 0.722825],4]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_32_seed2_best.controller', '0', '20', [0.216871, 0.997751, 0.722969],8]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_32_seed2_best.controller', '0', '20', [0.216852, 0.997749, 0.723011],16]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_32_seed2_best.controller', '0', '20', [0.21692, 0.997755, 0.722546],32]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_32_seed2_best.controller', '0', '20', [0.216834, 0.997744, 0.723369],64]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_64_seed2_best.controller', '0', '20', [0.13828, 0.999136, 0.985781],1]
