,1,16,2,32,4,64,8
1,0.0690,0.0526,0.0000,0.0526,0.0526,0.0000,0.0000
16,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
2,0.5862,0.5263,0.1250,0.5263,0.5263,0.5000,0.5000
32,0.7586,0.6842,0.6875,0.6842,0.6842,0.6667,0.6667
4,0.4138,0.3684,0.2500,0.3684,0.3684,0.3333,0.3333
64,0.2414,0.2105,0.4375,0.2105,0.2105,0.1667,0.1667
8,0.8966,0.8421,0.8750,0.8421,0.8421,0.8333,0.8333
