Row,z_1,z_2
_1_,-0.0379891919382538,0.34995411521483
_2_,0.82813569452031,-0.112480417155145
_3_,-0.270619505897854,-0.612857583549417
_4_,-0.348939723967087,-0.672216217286929
_5_,-0.112433359834134,0.202150218691104
_6_,0.709195234766066,-0.554905015192828
_7_,0.00686716844818031,0.648813152613817
_8_,-0.657325850094149,-0.13252162984851
_9_,0.0249971588239605,0.398031672840443
_10_,-0.095643496417362,-0.00509567959562837
_11_,0.063708445342978,0.27565498090449
_12_,-0.109952573752656,0.215472402363773
