['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_2_seed2_best.controller', '11', '20', [0.152031, 0.945797, 0.931033]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_2_seed2_best.controller', '12', '20', [0.158154, 0.946613, 0.939617]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_3_seed2_best.controller', '1', '20', [0.291483, 0.999998, 0.857343]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_3_seed2_best.controller', '2', '20', [0.291483, 0.999998, 0.857343]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_3_seed2_best.controller', '3', '20', [0.236845, 0.999997, 0.858758]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_3_seed2_best.controller', '4', '20', [0.282302, 0.999998, 0.857705]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_3_seed2_best.controller', '5', '20', [0.287348, 0.999998, 0.856973]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_3_seed2_best.controller', '6', '20', [0.290237, 0.999998, 0.857391]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_3_seed2_best.controller', '7', '20', [0.27016, 0.999998, 0.855514]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_3_seed2_best.controller', '8', '20', [0.272009, 0.999998, 0.85605]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_3_seed2_best.controller', '9', '20', [0.278149, 0.999998, 0.855372]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_3_seed2_best.controller', '10', '20', [0.286223, 0.999998, 0.856323]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_3_seed2_best.controller', '11', '20', [0.291483, 0.999998, 0.857342]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_3_seed2_best.controller', '12', '20', [0.290818, 0.999998, 0.856774]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_4_seed2_best.controller', '1', '20', [0.043415, 0.982463, 0.312675]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_4_seed2_best.controller', '2', '20', [0.043415, 0.982463, 0.312675]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_4_seed2_best.controller', '3', '20', [-0.00416749, 0.981183, 0.0920019]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_4_seed2_best.controller', '4', '20', [0.0346918, 0.982131, 0.270353]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_4_seed2_best.controller', '5', '20', [0.0597696, 0.982948, 0.369077]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_4_seed2_best.controller', '6', '20', [0.0426692, 0.982388, 0.306977]]
