TestNames,MDS_1,MDS_2
_1_,-0.055801195938991285,-0.08595795126092459
_2_,-0.0802504428809055,-0.09910898034797841
_3_,0.22057550084695704,0.23964261513544194
_4_,0.12034514402445275,-0.06245264464114975
_5_,-0.07448885844815344,0.024766017504934304
_6_,-0.07318080133845628,-0.13238855427570706
_7_,0.19135232690087872,0.0007222818136466832
_8_,0.0826982789399976,0.11253075885036208
_9_,-0.10462978419597788,0.2761422205343132
_10_,-0.17539456358767885,-0.0025735129138138415
_11_,-0.07336338034119345,-0.10100796854359181
_12_,0.02213777601907047,-0.1703142818555326
