TestNames,MDS_1,MDS_2
bier127.tsp,-0.07733914459940738,-0.029897735345535366
eil101.tsp,-0.019134315906771508,0.017469713918388193
gr137.tsp,0.008907222381836359,0.025606260235997012
gr96.tsp,0.035038201541330305,-0.00027229347507973776
kroA100.tsp,0.08796749359315675,-0.009840051000405105
kroB100.tsp,-0.11863796491328236,-0.016698790555940958
kroC100.tsp,-0.023325435827799834,0.009692487953308125
kroD100.tsp,0.07155803248656589,-0.005704673392675998
kroE100.tsp,0.10300859448979666,-0.02161277875514019
lin105.tsp,0.039971546371394565,-0.002949132960095339
pr107.tsp,0.044581990802569735,0.01764381666547467
pr124.tsp,-0.024839068761381877,0.02405183037763239
pr136.tsp,-0.06276625584288416,0.01512298547271309
pr144.tsp,-0.09175648272941445,-0.023487444015641037
rd100.tsp,0.026765586914291283,0.0008758048770002499
