TestNames,MDS_1,MDS_2
N-be75np_150cut.lop,0.15441754883127462,-0.07818743560479217
N-be75oi_150cut.lop,0.005075492715357209,0.052930365572906375
N-t65d11xx_150cut.lop,0.26346510527569283,-0.1679729317122437
N-t70f11xx_150cut.lop,0.19126558660939577,-0.2118914530995148
N-t75k11xx_150cut.lop,0.2039617654737089,-0.0914274552587564
N-t75n11xx_150cut.lop,0.21635172974747344,-0.1747052113333144
N-tiw56r54_150cut.lop,0.2705543038890673,-0.243755296407822
N-tiw56r72_150cut.lop,0.2426177045521732,-0.184663323172318
tai20_20_0.pfsp,-0.24498440531324667,-0.1850077943209143
tai20_20_1.pfsp,-0.3120279257683229,-0.11304351551971481
tai50_10_0.pfsp,-0.03560218581561395,-0.0820220256071732
tai50_10_1.pfsp,-0.07886304063762428,-0.08986761418919413
tai50_10_2.pfsp,-0.002817499564884684,-0.15959033175181483
tai50_5_0.pfsp,-0.011608408952057775,-0.20275078554452436
tai50_5_1.pfsp,-0.06216385387174274,-0.0987595618007022
tai50_5_2.pfsp,0.01795592638362514,-0.23725988569350137
sko100a.qap,-0.2505413186082558,0.45998902331215874
sko100b.qap,-0.21551173907433402,0.4518405514165914
sko90.qap,-0.3312268825186657,0.397211107824586
tai100a.qap,-0.3011124965515718,0.41233530606972446
tai100b.qap,-0.3197367714345557,0.3811178150813337
tai60a.qap,-0.3130114803852131,0.3596889311469572
tai80a.qap,-0.25226675228487483,0.3828531794023138
tai80b.qap,-0.2736625143496057,0.36784932672160287
ch130.tsp,0.2315688148998026,0.05971174958809429
eil101.tsp,0.2652724316352998,-0.09662249385087833
eil76.tsp,0.186082550406772,-0.20204962264977708
kroA100.tsp,0.1275086065401819,-0.0846235292645907
kroB100.tsp,0.1290776674097194,-0.12585343039196722
kroE100.tsp,0.21327627584253053,-0.1420075732906309
rat99.tsp,0.16720127831569906,-0.11384407633906168
st70.tsp,0.11948448660279606,-0.239622009333062
