,lop,pfsp,qap,tsp
lop,0.2177,0.2933,0.6376,0.2389
pfsp,0.6084,0.4980,0.7555,0.6371
qap,0.8548,0.8584,0.1134,0.8548
tsp,0.3191,0.3503,0.4934,0.2692
